artwork_type,count
Print,46215
Photograph,24511
Drawing and Watercolor,14673
Textile,9724
Painting,3704
Vessel,3498
Architectural Drawing,3308
Coin,2770
Costume and Accessories,2493
Glass,2276
Sculpture,2257
Ceramics,2097
Decorative Arts,1417
Metalwork,1305
Book,1238
Graphic Design,1026
Design,773
Arms,637
Furniture,584
Religious/Ritual Object,468
Armor,430
Architectural fragment,285
Archives (groupings),205
Mixed Media,183
Model,173
Coverings and Hangings,171
"Film, Video, New Media",163
non-art,159
Mask,80
Miniature room,69
Funerary Object,67
Installation,63
Time Based Media,44
Basketry,44
Miniature Painting,22
Furnishings,18
Medals,10
Audio-Video,2
Equipment,2
Materials,1
Icon,1
Digital Arts,1
Prototypes,1
